SEVERITY: Error
  GROUP: Interconnectivity : 22 Error(s)
    drc-OUT-GROUND - [flatnet : GND, component: Smart-Control-HVAC\RS-485-EXTERNA\$1I12, pin: GND] OUT pin connected to Ground pin
    drc-OUT-GROUND - [flatnet : GND, component: Smart-Control-HVAC\CONTROL\$1I976, pin: GND] OUT pin connected to Ground pin
    drc-OUT-GROUND - [flatnet : GND, component: Smart-Control-HVAC\CONTROL\$1I298, pin: VSS/VSSA] OUT pin connected to Ground pin
    drc-OUT-GROUND - [flatnet : GND, component: Smart-Control-HVAC\CONTROL\$1I298, pin: VSS2] OUT pin connected to Ground pin
    drc-OUT-GROUND - [flatnet : GND, component: Smart-Control-HVAC\pOWER_sUPPLY\$1I419, pin: IN-] OUT pin connected to Ground pin
    drc-OUT-GROUND - [flatnet : GND, component: Smart-Control-HVAC\RS-485-LCD\$1I28, pin: GND] OUT pin connected to Ground pin
    drc-OUT-GROUND - [flatnet : GND, component: Smart-Control-HVAC\RS-485-LCD\$1I45, pin: GND] OUT pin connected to Ground pin
    drc-OUT-POWER - [flatnet : +5.0V, component: Smart-Control-HVAC\RS-485-EXTERNA\$1I12, pin: VCC] OUT pin connected to Power pin
    drc-OUT-POWER - [flatnet : +5.0V, component: Smart-Control-HVAC\CONTROL\$1I298, pin: VDDA] OUT pin connected to Power pin
    drc-OUT-POWER - [flatnet : +5.0V, component: Smart-Control-HVAC\CONTROL\$1I298, pin: VDD2] OUT pin connected to Power pin
    drc-OUT-POWER - [flatnet : +5.0V, component: Smart-Control-HVAC\CONTROL\$1I298, pin: VDD] OUT pin connected to Power pin
    drc-OUT-POWER - [flatnet : +5.0V, component: Smart-Control-HVAC\pOWER_sUPPLY\$1I419, pin: IN+] OUT pin connected to Power pin
    drc-OUT-POWER - [flatnet : +5.0V, component: Smart-Control-HVAC\RS-485-LCD\$1I28, pin: VCC] OUT pin connected to Power pin
    drc-OUT-POWER - [flatnet : GND, component: Smart-Control-HVAC\pOWER_sUPPLY\$1I218, pin: -Vo] OUT pin connected to Power pin
    drc-OUT-POWER - [flatnet : GND, component: Smart-Control-HVAC\RS-485-LCD\$1I28, pin: GND] OUT pin connected to Power pin
    drc-POWER-GROUND - [flatnet : GND, component: Smart-Control-HVAC\RS-485-EXTERNA\$1I12, pin: GND] Power pin connected to Ground pin
    drc-POWER-GROUND - [flatnet : GND, component: Smart-Control-HVAC\CONTROL\$1I976, pin: GND] Power pin connected to Ground pin
    drc-POWER-GROUND - [flatnet : GND, component: Smart-Control-HVAC\CONTROL\$1I298, pin: VSS/VSSA] Power pin connected to Ground pin
    drc-POWER-GROUND - [flatnet : GND, component: Smart-Control-HVAC\CONTROL\$1I298, pin: VSS2] Power pin connected to Ground pin
    drc-POWER-GROUND - [flatnet : GND, component: Smart-Control-HVAC\pOWER_sUPPLY\$1I218, pin: -Vo] Power pin connected to Ground pin
    drc-POWER-GROUND - [flatnet : GND, component: Smart-Control-HVAC\pOWER_sUPPLY\$1I419, pin: IN-] Power pin connected to Ground pin
    drc-POWER-GROUND - [flatnet : GND, component: Smart-Control-HVAC\RS-485-LCD\$1I45, pin: GND] Power pin connected to Ground pin

22 Error(s), 0 Warning(s), 0 Note(s), 
